"Date","Price","Open","High","Low","Vol.","Change %"
"01/05/2023","13.72","13.75","13.94","13.65","6.15M","0.81%"
"01/04/2023","13.61","13.88","14.00","13.58","5.43M","-2.72%"
"01/03/2023","13.99","14.00","14.50","13.90","6.05M","-0.92%"
"12/30/2022","14.12","14.30","14.44","14.10","6.54M","-0.07%"
"12/29/2022","14.13","14.10","14.17","13.95","3.74M","-1.26%"
"12/28/2022","14.31","14.21","14.40","13.95","5.39M","-0.21%"
"12/27/2022","14.34","14.36","14.64","14.25","5.01M","-0.07%"
"12/23/2022","14.35","14.75","14.86","14.24","6.24M","-2.71%"
"12/22/2022","14.75","14.08","15.42","14.03","11.27M","5.43%"
"12/21/2022","13.99","14.22","14.26","13.91","5.43M","-3.78%"
"12/20/2022","14.54","14.70","14.94","14.36","4.92M","-0.75%"
"12/19/2022","14.65","14.94","14.95","14.40","8.25M","-2.40%"
"12/16/2022","15.01","15.29","15.48","14.82","7.89M","0.33%"
"12/15/2022","14.96","14.35","15.28","14.24","10.78M","6.25%"
"12/14/2022","14.08","14.55","14.72","13.99","7.83M","-3.43%"
"12/13/2022","14.58","14.36","15.13","14.31","7.62M","-4.14%"
"12/12/2022","15.21","15.27","15.39","15.06","5.83M","-0.59%"
"12/09/2022","15.30","15.06","15.35","14.93","4.75M","2.14%"
"12/08/2022","14.98","15.27","15.43","14.86","4.67M","-2.03%"
"12/07/2022","15.29","15.18","15.41","15.03","8.11M","1.46%"
"12/06/2022","15.07","14.59","15.19","14.42","8.06M","3.01%"
"12/05/2022","14.63","14.57","14.93","14.33","6.89M","1.74%"
"12/02/2022","14.38","14.94","14.97","14.34","7.94M","-1.78%"
"12/01/2022","14.64","14.88","15.19","14.62","5.95M","-1.88%"
"11/30/2022","14.92","15.50","15.77","14.79","7.81M","-3.68%"
"11/29/2022","15.49","15.65","15.83","15.42","3.71M","-1.46%"
"11/28/2022","15.72","15.47","15.85","15.28","5.27M","3.69%"
"11/25/2022","15.16","15.19","15.28","15.07","1.88M","0.53%"
"11/23/2022","15.08","15.46","15.52","15.06","4.88M","-2.20%"
"11/22/2022","15.42","15.83","15.83","15.39","3.62M","-3.44%"
"11/21/2022","15.97","16.44","16.48","15.93","3.45M","-2.68%"
"11/18/2022","16.41","16.45","16.77","16.39","5.05M","-1.03%"
"11/17/2022","16.58","17.14","17.17","16.54","4.20M","-0.96%"
"11/16/2022","16.74","16.97","17.08","16.70","3.97M","-2.67%"
"11/15/2022","17.20","16.58","17.69","16.55","8.83M","1.30%"
"11/14/2022","16.98","17.00","17.05","16.53","4.08M","0.00%"
"11/11/2022","16.98","17.33","17.47","16.95","4.47M","-1.34%"
"11/10/2022","17.21","17.18","17.34","16.80","6.78M","-5.49%"
"11/09/2022","18.21","17.70","18.33","17.67","4.36M","3.11%"
"11/08/2022","17.66","17.02","17.83","16.99","5.57M","2.91%"
"11/07/2022","17.16","17.25","17.42","16.98","2.98M","-1.10%"
"11/04/2022","17.35","17.18","17.72","16.83","5.27M","-1.25%"
"11/03/2022","17.57","18.16","18.39","17.42","2.86M","-2.06%"
"11/02/2022","17.94","17.61","18.03","17.31","3.73M","2.57%"
