Id,Start,Name,Impact,Currency
8b964634-a386-4ca1-9f58-0a34ae3785d6,08/22/2014 14:00:00,Fed's Yellen speech on Labor Markets in Jackson Hole,HIGH,USD
aa5a47a4-2e49-43a2-8f20-28d7fe235aec,08/23/2014 00:00:00,Jackson Hole Symposium,HIGH,USD
2cef73c4-9f83-44b9-bfe8-061720f1f462,08/26/2014 12:30:00,Durable Goods Orders,HIGH,USD
92407bf6-109b-45fa-ab76-56ede37641e3,08/28/2014 12:30:00,Gross Domestic Product Annualized,HIGH,USD
369d315d-82f1-411a-ac9f-60f2bce87932,08/29/2014 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
98c50621-6711-4269-a85e-6634c77eb793,09/02/2014 14:00:00,ISM Manufacturing PMI,HIGH,USD
dafabeab-2971-4702-bafa-33e839ac3e83,09/04/2014 14:00:00,ISM Services PMI,HIGH,USD
d0c8a7c5-2377-4718-be40-01bfb2fd2856,09/05/2014 12:30:00,Nonfarm Payrolls,HIGH,USD
64a7d809-c104-4b6a-8bbe-536bedb0b7cb,09/05/2014 12:30:00,Unemployment Rate,HIGH,USD
78d26504-e755-4d49-a869-8f486caa5eb3,09/17/2014 12:30:00,Consumer Price Index (YoY),HIGH,USD
6698f03c-e95a-4387-89f4-7070350cdff3,09/17/2014 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
5db3483c-4ff2-4d51-ae51-9f5caea8b346,09/17/2014 18:00:00,Fed Interest Rate Decision,HIGH,USD
d87e9d9e-281b-4e07-977d-3f4913501e4d,09/17/2014 18:00:00,Fed Pace of MBS Purchase Program,HIGH,USD
ba63ed12-9e82-490c-9b5e-3a30d51a830b,09/17/2014 18:00:00,Fed Pace of Treasury Purchase Program,HIGH,USD
129df316-d354-4d19-8265-eea86609abd8,09/17/2014 18:00:00,Fed's Monetary Policy Statement,HIGH,USD
1cf4706e-da9a-4a19-b75a-90d028bb175f,09/17/2014 18:30:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
79541d8f-8817-48b5-ab5a-b38ccaef36f4,09/18/2014 12:45:00,Fed's Chair Yellen speech,HIGH,USD
25c01127-43f6-4744-9f9b-537d7d5b61ca,09/25/2014 12:30:00,Durable Goods Orders,HIGH,USD
